"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"21","Anaheim Ducks","82","48.0791","44","25","13","40","101","0.616","55.98","57.87","49.17","42.06","43.78","49.00","29.66","30.61","49.21","2.37","2.08","53.26","2.33","2.44","48.85","26.85","28.1","48.86","15.96","16.76","48.78","2.09","1.88","52.66","13.09","88.80","11.19","11.43","49.47","8.3","8.34","49.86","1.58","1.28","55.32","19.08","84.68","15.65","16.61","48.51","7.67","8.41","47.67","0.5","0.59","45.80","6.56","92.93","23.18","24.81","48.31","11.63","12.3","48.59","0.26","0.19","57.78","2.26","98.44","8.00","93.19","1.012"
"22","Los Angeles Kings","82","48.1778","45","29","8","43","98","0.598","55.31","55.87","49.75","41.06","42.03","49.42","29.2","29.51","49.74","2.33","2.04","53.29","2.08","2.3","47.54","25.01","25.92","49.10","14.34","14.91","49.03","1.92","1.64","53.90","13.40","88.97","9.1","10.52","46.38","6.15","7.58","44.79","1.28","1.16","52.30","20.76","84.63","15.86","15.39","50.75","8.2","7.32","52.84","0.64","0.48","57.48","7.84","93.50","25.07","24.65","50.42","13.44","12.7","51.41","0.39","0.37","51.46","2.90","97.11","7.97","93.09","1.011"
"23","New York Islanders","82","48.925","35","37","10","32","80","0.488","55.03","61.89","47.07","40.41","46.48","46.50","29.65","34.13","46.49","2.64","2.84","48.21","2.21","2.6","46.02","26.14","31.08","45.69","16.29","19.5","45.51","2.24","2.4","48.28","13.78","87.67","11.26","12.86","46.68","8.66","9.94","46.57","1.52","1.81","45.62","17.49","81.82","14.82","18.23","44.84","7.61","9.57","44.29","0.72","0.6","54.80","9.51","93.77","24.14","25.99","48.16","12.09","13.36","47.51","0.36","0.43","45.22","2.96","96.75","8.91","91.69","1.006"
"24","Columbus Blue Jackets","82","49.5539","45","30","7","39","97","0.591","59.46","55.56","51.69","45.65","40.91","52.74","33.36","30.2","52.48","2.51","2.17","53.54","2.58","2.36","52.20","27.89","26.47","51.30","17.09","16.41","51.01","2.1","1.78","54.06","12.26","89.15","11.33","11.13","50.43","8.36","8.75","48.86","1.41","1.23","53.36","16.87","85.91","16.53","15.32","51.91","8.73","7.66","53.24","0.68","0.54","55.60","7.80","92.91","27.04","24.13","52.84","14.77","12.1","54.97","0.4","0.35","53.12","2.71","97.08","7.51","92.80","1.003"
"25","Florida Panthers","82","48.3467","44","30","8","41","96","0.585","57.29","58.7","49.39","44.7","44.43","50.15","32.77","33.02","49.81","2.49","2.53","49.58","2.35","2.41","49.31","25.55","25.97","49.60","16.9","16.68","50.32","1.98","2.16","47.83","11.69","87.08","9.68","10.54","47.87","7.72","8.43","47.82","1.33","1.48","47.28","17.23","82.39","15.86","15.38","50.77","9.17","8.24","52.67","0.65","0.67","49.28","7.06","91.92","26.52","26.69","49.84","13.98","13.98","49.99","0.48","0.37","56.59","3.43","97.37","7.59","92.34","0.999"
"26","Tampa Bay Lightning","82","47.5167","54","23","5","48","113","0.689","60.19","54.5","52.48","45.32","41.52","52.18","32.48","31.22","50.98","3.02","2.24","57.41","2.41","2.06","53.95","29.01","25.22","53.50","17.92","16.74","51.70","2.63","1.9","58.01","14.68","88.63","11.4","9.29","55.11","8.26","7.31","53.06","1.63","1.08","60.13","19.78","85.18","17.66","15.86","52.68","9.66","9.44","50.59","0.99","0.82","54.78","10.26","91.32","26.85","25.66","51.13","13.07","13.13","49.89","0.37","0.31","54.57","2.83","97.65","9.31","92.82","1.021"
"27","Vegas Golden Knights","82","48.6815","51","24","7","47","109","0.665","58.79","55.24","51.56","43.65","41.4","51.32","31.47","29.52","51.60","2.61","2.34","52.78","2.26","2.18","50.94","27.77","25.33","52.29","17.29","15.78","52.27","2.18","1.98","52.35","12.61","87.43","9.8","10.02","49.44","7.49","7.47","50.05","1.32","1.36","49.27","17.68","81.76","18.01","15.23","54.17","9.81","8.31","54.16","0.86","0.63","57.74","8.75","92.43","25.14","23.94","51.22","12.64","11.98","51.34","0.43","0.33","56.33","3.41","97.21","8.31","92.08","1.004"
"28","Dallas Stars","82","47.763","42","32","8","38","92","0.561","56.56","54.43","50.96","40.78","39.08","51.07","29.31","28.22","50.95","2.27","2.06","52.38","2.27","2.06","52.43","26.46","24.95","51.47","15.24","14.09","51.95","1.88","1.67","53.04","12.35","88.18","11.14","8.93","55.50","8.25","6.44","56.14","1.31","0.84","60.73","15.84","86.89","15.3","15.99","48.91","6.98","7.65","47.70","0.58","0.81","41.59","8.30","89.37","23.61","23.47","50.16","11.87","12.3","49.11","0.39","0.39","49.79","3.29","96.80","7.73","92.70","1.004"
"29","New Jersey Devils","82","47.9728","44","29","9","39","97","0.591","54.31","57.4","48.62","42.04","43.63","49.07","30.63","30.67","49.97","2.44","2.54","48.96","2.3","2.29","50.10","25.08","26.2","48.90","15.89","16.18","49.55","1.97","2.12","48.18","12.38","86.92","11.04","9.66","53.33","8.59","7.75","52.58","1.48","1.43","50.71","17.19","81.48","14.03","16.53","45.91","7.31","8.42","46.47","0.49","0.68","41.62","6.67","91.87","24.36","26.04","48.33","13.13","12.84","50.56","0.46","0.41","53.04","3.50","96.83","7.96","91.71","0.997"
"30","Carolina Hurricanes","82","49.8396","36","35","11","33","83","0.506","61.97","51.99","54.38","45.36","40.07","53.09","32.2","28.71","52.86","2.28","2.62","46.56","2.46","2.2","52.73","28.03","24.24","53.63","15.89","14.93","51.55","1.94","2.2","46.81","12.19","85.26","11.43","10.31","52.57","7.72","7.56","50.51","1.4","1.3","51.78","18.15","82.75","16.55","13.93","54.30","8.17","7.37","52.56","0.53","0.9","37.24","6.52","87.82","28.27","23.23","54.90","14.87","12.25","54.84","0.33","0.37","47.13","2.22","96.97","7.09","90.87","0.980"
"31","Vancouver Canucks","82","48.3559","31","40","11","31","73","0.445","51.65","58.29","46.98","39.23","44.07","47.09","28.62","31.84","47.34","2.07","2.5","45.30","2.02","2.34","46.33","24.14","29.34","45.13","14.64","17.33","45.78","1.77","2.02","46.71","12.07","88.37","9.46","10.89","46.49","7.03","8.15","46.32","1.23","1.39","46.86","17.46","82.91","14.59","18.49","44.11","7.62","9.19","45.33","0.54","0.62","46.66","7.14","93.23","22.6","24.36","48.13","11.94","13.14","47.61","0.3","0.45","40.18","2.52","96.59","7.23","92.15","0.994"
