"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Toronto Maple Leafs","82","49.3301","49","26","7","42","105","0.640","59.2","57.91","50.55","43.63","44.99","49.23","31.01","32.28","49.00","2.78","2.32","54.50","2.47","2.44","50.34","30.04","27.06","52.61","17.85","16.66","51.72","2.41","1.89","56.10","13.50","88.68","11.51","10.61","52.03","8.54","7.79","52.29","1.59","1.26","55.88","18.64","83.87","18.58","16.38","53.15","9.32","8.86","51.28","0.81","0.62","56.69","8.73","92.98","24.06","26.28","47.79","11.36","14.03","44.73","0.35","0.43","44.59","3.07","96.91","8.97","92.80","1.018"
"2","Winnipeg Jets","82","47.5587","52","20","10","48","114","0.695","59.59","53.65","52.62","44.42","39.94","52.65","31.84","29.07","52.27","2.69","2.21","54.94","2.29","2.04","52.87","26.18","23","53.23","16.15","13.8","53.92","2.14","1.79","54.47","13.28","87.02","10.44","9.06","53.55","7.82","6.73","53.76","1.35","1.16","53.71","17.23","82.74","15.77","13.87","53.21","8.31","7.07","54.03","0.79","0.63","55.75","9.54","91.10","26.43","24.62","51.77","13.73","13.43","50.55","0.52","0.41","55.91","3.80","96.93","8.44","92.41","1.009"
"3","St Louis Blues","82","48.6124","44","32","6","41","94","0.573","58.45","54.29","51.85","43.42","38.81","52.81","31.41","28.78","52.19","2.27","2.06","52.44","2.25","2.07","52.06","26.56","25.29","51.22","15.46","14.94","50.85","1.88","1.68","52.88","12.18","88.77","9.18","9.21","49.94","6.76","7.09","48.81","1.04","1.21","46.23","15.38","82.94","17.39","16.07","51.98","8.68","7.84","52.56","0.85","0.47","64.34","9.73","94.02","26.5","23.66","52.83","14.33","12.12","54.19","0.38","0.38","50.07","2.64","96.89","7.22","92.85","1.001"
"4","Pittsburgh Penguins","82","47.9482","47","29","6","45","100","0.610","60.16","54.91","52.28","45.81","40.49","53.08","33.89","29.77","53.24","2.45","2.67","47.79","2.6","2.32","52.88","28.54","26.51","51.85","17.75","16.37","52.02","1.93","2.38","44.71","10.86","85.44","12.04","11.75","50.62","9.2","8.9","50.81","1.27","1.46","46.44","13.77","83.60","16.5","14.77","52.78","8.56","7.49","53.35","0.66","0.92","41.74","7.72","87.68","26.38","23.82","52.55","14.46","12.18","54.28","0.49","0.28","63.73","3.41","97.69","7.21","91.03","0.982"
"5","Calgary Flames","82","47.478","37","35","10","35","84","0.512","63.49","55.93","53.17","47.68","42.23","53.03","32.8","29.88","52.33","2.26","2.45","47.96","2.48","2.24","52.51","28.52","24.79","53.50","16.5","14.78","52.75","1.97","1.81","52.10","11.93","87.75","12.08","9.93","54.89","8.42","7.27","53.66","1.34","1.33","50.33","15.96","81.77","16.41","14.86","52.48","8.09","7.5","51.89","0.62","0.49","55.83","7.67","93.46","28.27","25.7","52.38","14.12","13.46","51.21","0.27","0.59","31.35","1.89","95.65","6.88","91.81","0.987"
"6","Edmonton Oilers","82","49.4764","36","40","6","31","78","0.476","58.54","58.98","49.81","44.15","43.32","50.47","31.74","31.95","49.83","2.42","2.6","48.24","2.5","2.44","50.61","28.05","28.82","49.32","16.91","17.2","49.57","2.01","2.23","47.35","11.88","87.01","11.59","12.19","48.74","8.32","8.77","48.66","1.35","1.48","47.62","16.17","83.14","16.38","16.68","49.56","8.6","8.44","50.47","0.67","0.76","46.98","7.81","91.02","25.56","23.81","51.78","13.53","12.71","51.56","0.41","0.32","56.18","3.00","97.51","7.62","91.88","0.995"
"7","Philadelphia Flyers","82","48.6522","42","26","14","40","98","0.598","54.72","55.1","49.83","41.02","40.65","50.23","30.1","28.66","51.23","2.36","2.18","52.03","2.14","2.2","49.27","23.72","25.05","48.63","14.62","14.48","50.24","1.95","1.83","51.58","13.36","87.33","9.68","9.89","49.47","7.4","6.88","51.84","1.24","1.28","49.20","16.71","81.43","14.03","15.14","48.10","7.24","7.61","48.75","0.72","0.55","56.39","9.91","92.71","25.26","24.13","51.14","13.7","12.53","52.23","0.38","0.32","54.03","2.74","97.45","7.84","92.40","1.002"
"8","San Jose Sharks","82","48.948","45","27","10","40","100","0.610","60.77","57.88","51.22","44.31","40.95","51.97","31.25","29.11","51.78","2.38","2.46","49.14","2.38","2.25","51.49","27.47","26.49","50.90","15.82","15.56","50.41","1.88","2.13","46.83","11.88","86.29","11.55","11.01","51.20","8.3","8.28","50.08","1.41","1.54","47.90","17.02","81.43","15.91","15.45","50.72","7.52","7.28","50.81","0.47","0.59","43.92","6.19","91.84","27.52","25","52.40","14.09","11.74","54.54","0.5","0.32","60.98","3.52","97.30","7.60","91.55","0.992"
"9","Nashville Predators","82","46.9041","53","18","11","47","117","0.713","60.92","54.84","52.63","45.05","40.82","52.46","32.19","30.23","51.58","2.61","1.98","56.89","2.31","2.2","51.30","25.92","25.16","50.74","15.66","15.95","49.54","2.2","1.54","58.84","14.05","90.35","10.47","10.27","50.47","7.95","7.74","50.69","1.55","1.03","59.90","19.43","86.63","15.48","14.8","51.12","7.71","8.21","48.44","0.66","0.5","56.55","8.51","93.86","28.84","23.66","54.93","15.08","12.48","54.71","0.37","0.38","49.00","2.43","96.94","8.12","93.45","1.016"
"10","Boston Bruins","82","48.0984","50","20","12","47","112","0.683","59.56","50.44","54.14","44.85","38","54.13","32","27.11","54.14","2.52","2.1","54.59","2.39","1.98","54.67","28.01","22.97","54.95","17.12","14.29","54.51","2.16","1.73","55.48","12.60","87.88","10.53","9.34","53.00","7.87","7.13","52.45","1.31","1.15","53.40","16.68","83.94","17.49","13.58","56.29","9.25","7.15","56.40","0.84","0.59","58.85","9.09","91.78","26.18","22.76","53.49","12.77","11.03","53.66","0.34","0.35","49.25","2.66","96.83","7.87","92.27","1.001"
"11","Montreal Canadiens","82","48.4941","29","40","13","27","71","0.433","58.22","58.84","49.73","41.89","42.41","49.69","30.79","30.87","49.93","1.95","2.39","44.90","2.3","2.21","50.94","26.09","25.68","50.40","15.61","14.55","51.76","1.7","2.01","45.72","10.87","86.16","11.48","10.22","52.91","8.31","7.23","53.47","1.29","1.47","46.80","15.53","79.72","14.56","15.47","48.48","7.3","7.31","49.95","0.41","0.55","42.77","5.61","92.51","26.83","26.96","49.87","13.82","14.49","48.81","0.23","0.38","38.10","1.70","97.37","6.33","92.25","0.986"
"12","Buffalo Sabres","82","48.1461","25","45","12","24","62","0.378","49.58","57.47","46.32","38.4","44.3","46.43","28.68","32.4","46.95","1.79","2.7","39.97","1.88","2.27","45.31","20.48","24.25","45.78","12.98","15.27","45.95","1.46","2.29","39.00","11.26","85.03","8.64","10.3","45.60","6.39","7.8","45.02","0.99","1.64","37.57","15.48","78.95","11.77","14.01","45.65","6.58","7.47","46.83","0.47","0.65","42.30","7.19","91.36","24.19","27.78","46.54","14.05","15.54","47.47","0.33","0.41","44.74","2.36","97.36","6.26","91.68","0.979"
"13","Colorado Avalanche","82","46.6522","43","30","9","41","95","0.579","54.77","59.52","47.92","39.72","44.22","47.32","28.89","31.9","47.52","2.37","2.19","51.97","1.99","2.28","46.60","24.7","26.26","48.47","14.77","15.37","49.02","1.88","1.73","52.03","12.73","88.72","9.15","10.27","47.11","6.9","7.35","48.43","1.24","1.2","50.76","17.98","83.63","15.57","15.97","49.37","7.87","8.02","49.51","0.63","0.53","54.38","8.07","93.36","24.75","27.59","47.29","12.77","14.77","46.37","0.46","0.46","49.94","3.57","96.91","8.21","93.13","1.013"
"14","New York Rangers","82","48.6752","34","39","9","31","77","0.470","51.66","63.27","44.95","39.49","47.81","45.23","29.23","35.33","45.28","2.23","2.73","44.98","2.34","2.67","46.65","26.03","30.2","46.30","15.8","18.22","46.45","2.02","2.43","45.34","12.76","86.66","12.04","12.85","48.39","9.01","9.43","48.85","1.55","1.42","52.19","17.19","84.96","13.89","17.37","44.43","6.77","8.8","43.48","0.47","1.01","31.62","6.89","88.54","20.41","27.08","42.98","11.32","15.13","42.78","0.2","0.28","42.00","1.77","98.17","7.64","92.27","0.999"
"15","Washington Capitals","82","48.165","49","26","7","46","105","0.640","54.68","58.55","48.29","40.26","44.24","47.65","28.05","30.47","47.93","2.58","2.29","52.92","2.25","2.5","47.36","26.77","28.33","48.58","15.43","16.38","48.50","2.2","2.09","51.35","14.29","87.25","10.19","12.31","45.29","7.69","8.62","47.16","1.27","1.52","45.60","16.51","82.42","16.58","15.96","50.96","7.73","7.75","49.93","0.93","0.58","61.88","12.08","92.58","23.11","24.87","48.16","11.22","12.53","47.23","0.37","0.2","65.13","3.33","98.40","9.19","92.47","1.017"
"16","Ottawa Senators","82","48.5805","28","43","11","26","67","0.409","53.93","62.75","46.22","40.09","45.5","46.84","29","32.86","46.88","2.27","3","43.03","2.02","2.38","45.92","23.56","28.3","45.43","13.7","16.22","45.79","1.87","2.48","42.98","13.64","84.71","9.78","10.93","47.22","7.3","8.05","47.57","1.27","1.59","44.40","17.40","80.23","13.72","17.41","44.08","6.41","8.18","43.91","0.59","0.89","39.99","9.29","89.09","24.32","27.6","46.84","12.95","14.52","47.14","0.38","0.53","41.70","2.91","96.37","7.82","90.87","0.987"
"17","Minnesota Wild","82","48.2197","45","26","11","42","101","0.616","52.4","57.18","47.82","39.7","41.87","48.67","29.82","29.62","50.17","2.43","2.15","52.96","2.21","1.96","53.06","24.08","22.84","51.32","15.56","13.13","54.23","1.97","1.64","54.53","12.66","87.50","11.23","8.91","55.75","8.74","6.35","57.90","1.48","1.05","58.37","16.90","83.42","12.88","13.91","48.09","6.83","6.77","50.21","0.49","0.59","45.73","7.24","91.33","23.04","27.94","45.19","12.98","14.86","46.63","0.45","0.51","47.27","3.50","96.59","8.14","92.73","1.009"
"18","Detroit Red Wings","82","48.7012","30","39","13","25","73","0.445","53.1","56.26","48.55","40.94","42.32","49.17","29.26","31.06","48.50","2.22","2.5","47.10","2.16","2.26","48.83","23.91","26.57","47.36","14.51","16.51","46.77","1.93","2.15","47.36","13.31","87.00","9.65","10.46","48.00","7.13","7.7","48.08","1.29","1.46","46.93","18.05","81.10","14.22","16.12","46.87","7.38","8.81","45.58","0.64","0.69","48.42","8.72","92.22","24.19","24.75","49.42","12.81","12.93","49.76","0.28","0.34","44.79","2.15","97.38","7.60","91.96","0.996"
"19","Chicago Blackhawks","82","48.0537","33","39","10","32","76","0.463","63.06","58.16","52.02","44.44","43.13","50.75","33.27","32.27","50.77","2.38","2.64","47.42","2.47","2.46","50.08","30.01","27.86","51.85","17.31","16.91","50.59","1.99","2.26","46.78","11.48","86.63","10.7","12.08","46.97","8.21","9.34","46.76","1.26","1.53","45.09","15.33","83.60","19.27","15.78","54.98","9.1","7.56","54.60","0.73","0.73","49.99","8.03","90.34","27.89","25.73","52.01","14.67","13.94","51.28","0.39","0.38","50.65","2.69","97.24","7.17","91.81","0.990"
"20","Arizona Coyotes","82","49.0258","29","41","12","27","70","0.427","55.43","60.91","47.64","40.14","46.11","46.54","28.16","31.4","47.28","2.08","2.43","46.13","2.13","2.42","46.87","24.87","27.02","47.93","14.77","15.7","48.47","1.64","1.97","45.39","11.08","87.46","10.39","11.89","46.63","7.57","8.08","48.36","1.07","1.44","42.67","14.16","82.18","14.45","15.15","48.81","7.19","7.64","48.47","0.57","0.53","51.79","7.88","93.10","24.7","28.49","46.44","11.65","14.36","44.78","0.39","0.43","48.03","3.39","97.03","7.38","92.27","0.997"
