"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Montreal Canadiens","82","48.6091","44","30","8","41","96","0.585","65.59","54.86","54.46","47.23","40.68","53.72","34.69","30.03","53.60","2.82","2.44","53.64","2.5","2.11","54.31","29.1","25.02","53.77","17.55","15.07","53.80","2.37","2.21","51.77","13.49","85.37","12.1","10.42","53.74","8.94","7.53","54.29","1.62","1.37","54.13","18.06","81.82","17.02","14.57","53.87","8.61","7.53","53.35","0.75","0.83","47.42","8.69","88.98","30.12","24.63","55.01","15.35","13.36","53.47","0.44","0.24","65.09","2.88","98.22","8.14","91.87","1.000"
"22","Dallas Stars","82","49.1264","43","32","7","42","93","0.567","53.45","57.5","48.17","39.25","41.99","48.32","29.23","30.45","48.98","2.01","1.97","50.54","2.21","2.19","50.26","25.68","25.41","50.26","15.64","15.13","50.83","1.63","1.6","50.45","10.40","89.44","11.28","10.18","52.55","8.38","7.73","52.03","1.21","1.04","53.88","14.48","86.56","14.36","15.22","48.56","7.25","7.42","49.42","0.41","0.56","42.49","5.70","92.47","22.43","25.57","46.73","11.9","13.37","47.08","0.38","0.34","52.87","3.22","97.44","6.88","93.54","1.004"
"26","Vegas Golden Knights","82","48.9673","43","32","7","40","93","0.567","62.38","51.91","54.58","45.81","38.39","54.40","33.37","28.38","54.04","2.57","2.4","51.75","2.62","2.15","54.90","30.04","24.53","55.05","18.3","15.17","54.67","2.09","1.99","51.20","11.40","86.89","12.32","9.72","55.92","9.23","7.34","55.72","1.47","1.41","51.12","15.97","80.79","17.71","14.79","54.49","9.05","7.83","53.62","0.61","0.57","51.62","6.75","92.69","26.21","22.11","54.24","13.53","11.49","54.07","0.48","0.39","55.65","3.59","96.64","7.71","91.54","0.993"
"24","Colorado Avalanche","82","46.9502","38","30","14","36","90","0.549","57.01","57.22","49.90","42.22","41.62","50.36","31.74","30.56","50.95","2.42","2.38","50.48","2.23","2.24","49.82","26.87","25.51","51.30","16.7","15.41","52.00","1.99","1.99","49.95","11.89","87.09","10.82","10.82","50.01","8.17","7.95","50.69","1.3","1.37","48.72","15.89","82.81","16.02","14.67","52.20","8.53","7.46","53.35","0.68","0.62","52.36","8.01","91.67","25.18","25.56","49.63","13.54","13.25","50.54","0.44","0.37","53.90","3.22","97.18","7.64","92.22","0.999"
"21","Arizona Coyotes","82","48.2358","39","35","8","35","86","0.524","56.21","58.61","48.95","41.72","42.65","49.45","29.96","30.15","49.84","1.99","2.36","45.66","2.28","2.29","49.92","24.86","26.23","48.66","14.86","15.04","49.70","1.71","2.02","45.90","11.53","86.58","10.83","11.62","48.24","7.82","8.24","48.69","1.04","1.43","42.05","13.28","82.63","14.01","14.59","48.99","7.04","6.79","50.90","0.68","0.59","53.52","9.59","91.36","25.17","26.22","48.98","12.92","13.37","49.14","0.26","0.33","44.27","2.01","97.56","6.63","92.16","0.988"
"28","Florida Panthers","82","48.3963","36","32","14","33","86","0.524","54.69","55.87","49.47","42.02","41.92","50.06","31.03","30.22","50.66","2.44","2.83","46.27","2.21","2.35","48.44","23.97","25.06","48.88","15.06","15.28","49.65","2.2","2.52","46.66","14.62","83.52","9.5","11.11","46.08","7.11","8.15","46.59","1.56","1.73","47.46","21.96","78.79","14.45","13.94","50.91","7.96","7.13","52.75","0.64","0.79","44.85","8.09","88.89","25.13","25.12","50.02","13.93","13.03","51.67","0.24","0.3","45.24","1.75","97.73","7.86","90.63","0.985"
"15","Chicago Blackhawks","82","49.1652","36","34","12","33","84","0.512","56.35","58.47","49.08","41.27","44.4","48.17","31.42","33.79","48.18","2.72","2.73","49.84","2.25","2.68","45.60","26.84","30.12","47.12","16.32","18.79","46.48","2.31","2.38","49.34","14.18","87.35","10.11","13.64","42.57","7.84","10.51","42.74","1.4","1.52","48.03","17.87","85.57","16.68","16.47","50.31","8.47","8.28","50.57","0.91","0.86","51.43","10.80","89.57","24.81","23.69","51.16","13.88","13.57","50.55","0.4","0.35","53.18","2.87","97.42","8.65","91.91","1.006"
"23","Minnesota Wild","82","48.386","37","36","9","36","83","0.506","56.62","55.54","50.48","42.72","40.35","51.43","31.02","28.2","52.38","2.12","2.34","47.48","2.25","1.97","53.27","25.12","22.58","52.67","15.61","12.94","54.67","1.79","1.91","48.31","11.44","85.24","10.97","9.11","54.63","8.3","6.55","55.88","1.17","1.34","46.55","14.07","79.54","14.12","13.47","51.18","7.3","6.4","53.28","0.62","0.57","52.19","8.49","91.13","25.55","26.34","49.24","13.91","13.72","50.35","0.32","0.43","43.04","2.32","96.88","6.83","91.69","0.985"
"25","Philadelphia Flyers","82","48.4035","37","37","8","34","82","0.500","54.36","60.06","47.51","40.45","43.67","48.09","29.3","32.34","47.53","2.49","2.88","46.38","2.19","2.36","48.10","24.23","26.6","47.67","14.6","15.9","47.87","2.19","2.4","47.79","15.03","84.93","10.25","10.36","49.75","7.66","7.77","49.66","1.47","1.36","52.02","19.22","82.51","13.92","16.29","46.09","6.94","8.13","46.04","0.73","1.03","41.36","10.46","87.35","24.12","27.25","46.95","12.44","14.43","46.30","0.3","0.48","38.83","2.43","96.70","8.51","91.09","0.996"
"6","Vancouver Canucks","82","48.249","35","36","11","29","81","0.494","52.98","58.94","47.34","39.66","43.74","47.55","28.05","31.88","46.80","2.18","2.66","45.02","2.01","2.39","45.66","23.7","29.46","44.59","13.49","17.3","43.81","1.76","2.25","43.77","13.01","86.97","9.45","11.44","45.23","6.8","8.82","43.55","1.09","1.48","42.34","15.98","83.21","14.21","18.04","44.07","6.7","8.48","44.13","0.67","0.77","46.24","9.95","90.87","24.07","24.95","49.10","12.67","13.31","48.76","0.41","0.41","50.05","3.23","96.93","7.77","91.65","0.994"
"7","Anaheim Ducks","82","48.4825","35","37","10","32","80","0.488","53.06","60.12","46.88","39.62","45.31","46.65","27.43","31.37","46.66","2.03","2.32","46.72","2.09","2.6","44.60","24.48","29.49","45.36","14.33","17.76","44.66","1.67","2.1","44.32","11.66","88.18","9.79","12.45","44.03","6.95","9.33","42.69","1.16","1.45","44.50","16.71","84.47","14.6","17.09","46.07","7.37","8.44","46.61","0.51","0.65","43.81","6.92","92.25","23.39","25.24","48.10","11.34","12.23","48.12","0.36","0.21","63.55","3.18","98.31","7.42","92.60","1.000"
"30","Edmonton Oilers","82","49.2079","35","38","9","32","79","0.482","51.9","57.3","47.53","38.53","42.87","47.34","27.99","31.36","47.17","2.15","2.66","44.67","2.13","2.38","47.17","24.33","27.07","47.34","14.6","16.09","47.58","1.91","2.18","46.80","13.11","86.47","10.02","11.77","46.00","7.26","8.33","46.58","1.18","1.52","43.67","16.25","81.72","14.27","15.32","48.23","7.34","7.77","48.57","0.73","0.65","52.85","9.99","91.59","22.82","24.3","48.44","12.06","13.42","47.32","0.23","0.47","33.01","1.90","96.53","7.68","91.51","0.992"
"11","New York Rangers","82","48.2106","32","36","14","26","78","0.476","50.23","60.53","45.35","38.19","45.36","45.70","27.83","32.58","46.06","2.18","2.59","45.72","2.21","2.5","46.89","24.43","29.33","45.44","14.68","17.29","45.92","1.83","2.25","44.83","12.44","87.00","11.01","12.64","46.55","8.26","9.02","47.78","1.34","1.5","47.30","16.26","83.42","13.35","16.72","44.39","6.41","8.28","43.61","0.48","0.75","39.06","7.52","90.93","20.63","25.48","44.75","11.44","13.6","45.69","0.36","0.34","51.44","3.13","97.51","7.84","92.05","0.999"
"9","Buffalo Sabres","82","49.1551","33","39","10","28","76","0.463","54.94","56.24","49.42","42.75","43.88","49.35","31.29","32.67","48.92","2.28","2.75","45.29","2.11","2.29","47.99","24.53","25.61","48.92","15.16","16.45","47.96","1.94","2.41","44.60","12.79","85.36","10.08","10.84","48.19","7.46","8.2","47.64","1.31","1.44","47.72","17.61","82.45","14.36","14.79","49.26","7.69","8.25","48.23","0.63","0.96","39.46","8.18","88.31","25.51","24.98","50.53","14.55","14.42","50.23","0.32","0.34","49.20","2.23","97.67","7.28","91.58","0.989"
"18","Detroit Red Wings","82","49.1409","32","40","10","29","74","0.451","51.27","58.84","46.56","38.18","45.21","45.79","27.63","33","45.57","2.17","2.64","45.16","2.02","2.56","44.10","23.56","28.07","45.63","14.19","17.66","44.56","1.88","2.05","47.76","13.23","88.37","9.22","11.98","43.48","6.91","8.97","43.52","1.21","1.43","45.80","17.49","84.05","14.31","16.1","47.05","7.29","8.7","45.59","0.67","0.63","51.66","9.16","92.81","22.23","25.43","46.64","11.3","13.61","45.36","0.3","0.6","33.24","2.62","95.62","7.86","92.01","0.999"
"31","New Jersey Devils","82","47.826","31","41","10","28","72","0.439","50.71","59.06","46.19","39.56","44.78","46.91","29.09","31.88","47.71","2.22","2.81","44.21","2.18","2.35","48.16","23.28","25.8","47.44","15.01","15.99","48.42","1.77","2.24","44.13","11.79","85.99","10.05","9.66","50.99","7.49","7.35","50.47","1.2","1.51","44.37","16.02","79.53","13.19","16.12","45.00","7.52","8.62","46.61","0.56","0.73","43.49","7.49","91.50","22.8","27.49","45.34","12.74","14.39","46.94","0.42","0.53","44.06","3.28","96.31","7.64","91.20","0.988"
"27","Los Angeles Kings","82","49.4459","31","42","9","28","71","0.433","52.01","58.6","47.02","38.58","44.06","46.69","27.1","30.84","46.78","2.05","2.54","44.71","2.05","2.31","47.01","23.31","26.92","46.40","13.19","15.36","46.20","1.74","2.15","44.63","13.16","85.98","9.09","10.46","46.51","6.22","7.67","44.78","1.1","1.4","43.84","17.62","81.71","14.14","16.48","46.19","6.98","7.69","47.59","0.64","0.75","46.10","9.17","90.27","23.37","26.67","46.70","12.04","13.62","46.91","0.32","0.37","46.12","2.66","97.26","7.57","91.77","0.993"
"16","Ottawa Senators","82","49.4407","29","47","6","29","64","0.390","51.94","65.89","44.08","39.26","48.46","44.76","28.4","35.2","44.65","2.5","3.22","43.68","2.17","2.53","46.11","24.35","29.34","45.35","14.46","17.19","45.70","2.18","2.71","44.58","15.09","84.22","10.8","12.18","47.01","7.96","9.04","46.81","1.51","1.71","46.83","18.92","81.09","13.5","17.16","44.02","6.5","8.14","44.38","0.68","1","40.28","10.42","87.67","22.31","30.4","42.33","11.95","16.52","41.96","0.31","0.49","38.33","2.56","97.02","8.81","90.84","0.996"
