"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"29","Tampa Bay Lightning","82","47.6512","62","16","4","56","128","0.780","59.71","53.53","52.73","44.91","40.84","52.37","32.73","30.03","52.15","3.17","2.39","56.99","2.49","2.15","53.69","29.43","26.36","52.76","18.15","16.93","51.73","2.75","2.18","55.77","15.17","87.11","11.59","10.1","53.43","8.74","7.44","54.00","1.77","1.46","54.70","20.21","80.35","17.92","16.15","52.60","9.43","9.48","49.87","0.99","0.72","57.81","10.48","92.39","26.4","23.39","53.03","13.18","11.79","52.78","0.42","0.21","66.26","3.17","98.20","9.68","92.03","1.017"
"3","Boston Bruins","82","48.7077","49","24","9","47","107","0.652","58.46","50.31","53.75","44.58","37.7","54.18","32.11","27.29","54.05","2.35","1.89","55.43","2.29","2","53.40","25.36","22.62","52.86","16.14","14.51","52.66","2.03","1.52","57.25","12.60","89.54","10.16","9.23","52.39","7.96","7.2","52.50","1.37","1.01","57.51","17.20","85.95","15.25","13.35","53.32","8.19","7.31","52.82","0.66","0.51","56.72","8.10","93.08","28.09","23.58","54.37","14.07","11.28","55.52","0.32","0.37","46.13","2.26","96.71","7.33","93.06","1.004"
"5","Calgary Flames","82","47.599","50","25","7","50","107","0.652","60.39","51.28","54.08","44.44","38.85","53.36","31.6","27.66","53.33","2.86","2.3","55.47","2.42","2.12","53.36","28.36","24.42","53.74","17.26","14.85","53.75","2.45","1.83","57.15","14.17","87.65","11.44","10.17","52.93","8.68","7.52","53.59","1.75","1.28","57.77","20.17","82.97","16.93","14.22","54.36","8.58","7.33","53.93","0.69","0.56","55.18","8.00","92.39","26.28","22.02","54.41","12.9","10.99","54.00","0.41","0.45","47.37","3.16","95.88","9.06","91.69","1.008"
"4","Washington Capitals","82","47.9819","48","26","8","44","104","0.634","57.09","57.61","49.77","42.52","43.25","49.57","29.98","30.51","49.56","3.02","2.43","55.39","2.3","2.5","47.97","27.51","28.4","49.21","15.5","16.15","48.97","2.43","2.18","52.78","15.70","86.52","10.41","12.85","44.76","7.29","9.04","44.67","1.42","1.55","47.87","19.53","82.83","17.13","15.52","52.46","8.21","7.13","53.53","1","0.63","61.48","12.23","91.17","24.35","23.62","50.75","12.7","12.46","50.49","0.57","0.25","69.17","4.49","97.96","10.06","92.04","1.021"
"13","New York Islanders","82","49.1069","48","27","7","43","103","0.628","52.95","56.28","48.47","39.07","40.96","48.81","28.26","29.33","49.07","2.41","1.9","56.00","2.24","2.2","50.44","26.57","26.88","49.71","16","15.69","50.49","2.25","1.54","59.44","14.07","90.21","11.86","10.65","52.68","8.93","8.12","52.38","1.6","1.17","57.70","17.89","85.57","14.68","16.16","47.61","7.05","7.56","48.25","0.65","0.36","64.35","9.21","95.24","21.6","24.15","47.22","10.88","12.34","46.84","0.16","0.37","30.28","1.47","97.02","8.54","93.54","1.021"
"8","San Jose Sharks","82","48.7352","46","27","9","46","101","0.616","62.34","50.21","55.39","45.58","37.19","55.07","32.1","26.57","54.71","2.88","2.75","51.10","2.64","2.14","55.18","28.81","23.79","54.77","17.2","14.77","53.80","2.4","2.31","50.95","13.93","84.38","12.53","10.4","54.66","9.31","7.83","54.31","1.75","1.65","51.47","18.77","78.96","16.27","13.35","54.94","7.89","6.94","53.22","0.65","0.66","49.68","8.24","90.51","27.24","21.18","56.25","13.47","10.32","56.61","0.44","0.44","49.57","3.24","95.70","8.96","89.64","0.986"
"2","Toronto Maple Leafs","82","49.8108","46","28","8","46","100","0.610","64.56","59.33","52.11","46.87","46.18","50.37","32.07","32.66","49.55","3.03","2.49","54.87","2.55","2.45","50.98","32.25","28.27","53.29","18.17","16.72","52.08","2.48","2.19","53.06","13.62","86.90","12.19","10.69","53.26","8.92","7.7","53.67","1.6","1.38","53.78","17.96","82.13","20.1","17.49","53.46","9.26","9.01","50.69","0.87","0.81","51.78","9.44","90.97","26.72","26.61","50.11","12.5","14.23","46.75","0.55","0.29","65.21","4.40","97.94","9.44","92.38","1.018"
"10","Nashville Predators","82","47.6622","47","29","6","43","100","0.610","59.45","54.21","52.31","44.98","40.88","52.39","32.56","29.84","52.17","2.52","2.16","53.82","2.35","2.24","51.25","26.87","25.58","51.23","16.08","16.22","49.79","2.15","1.77","54.78","13.36","89.07","10.92","10.68","50.57","8.05","8.26","49.36","1.41","1.1","56.31","17.55","86.73","15.95","14.88","51.73","8.03","7.95","50.26","0.74","0.68","52.02","9.17","91.46","27.13","22.82","54.31","14.97","11.89","55.75","0.36","0.39","48.13","2.39","96.75","7.73","92.77","1.005"
"12","Pittsburgh Penguins","82","49.1362","44","26","12","42","100","0.610","59.04","57.48","50.67","44.5","42.89","50.92","33.02","31.71","51.01","2.72","2.22","54.99","2.56","2.32","52.37","28.1","25.22","52.70","18.04","15.95","53.09","2.33","1.9","55.08","12.93","88.07","12.33","10.42","54.20","9.73","7.81","55.47","1.48","1.23","54.59","15.25","84.20","15.8","14.74","51.74","8.31","8.12","50.59","0.84","0.67","55.70","10.13","91.75","25.29","26.67","48.67","13.36","13.9","49.00","0.38","0.29","56.91","2.84","97.94","8.23","92.99","1.012"
"14","Carolina Hurricanes","82","48.347","46","29","7","44","99","0.604","64.5","52.39","55.18","48.59","39.6","55.10","33.78","27.82","54.84","2.42","2.24","51.97","2.85","2.29","55.49","29.64","24.86","54.38","17.52","14.36","54.96","2.05","1.95","51.20","11.68","86.42","13.49","11.16","54.72","9.41","7.83","54.59","1.3","1.36","48.90","13.85","82.61","16.12","13.67","54.11","8.1","6.53","55.34","0.74","0.59","55.73","9.14","91.00","28.6","22.41","56.07","14.56","11.7","55.45","0.34","0.29","54.22","2.33","97.55","7.17","91.96","0.991"
"19","Winnipeg Jets","82","48.177","47","30","5","45","99","0.604","56.16","57.52","49.40","42.01","43.45","49.15","30.4","31.86","48.83","2.54","2.46","50.84","2.17","2.35","48.02","24.58","25.86","48.73","15.25","16.11","48.63","2.21","2.05","51.88","14.49","87.28","9.83","10.61","48.08","7.27","7.65","48.75","1.46","1.34","52.13","20.02","82.51","14.76","15.21","49.25","7.98","8.46","48.51","0.76","0.71","51.64","9.50","91.61","25.63","25.99","49.65","13.74","13.9","49.71","0.33","0.41","44.44","2.38","97.06","8.36","92.28","1.006"
"20","St Louis Blues","82","48.5955","45","28","9","42","99","0.604","56.2","51.66","52.11","42.15","38.05","52.56","31.01","27.58","52.93","2.5","2.22","52.90","2.4","2.05","53.97","27.88","25.25","52.48","17","15.49","52.33","2.1","1.96","51.78","12.35","87.38","11.63","9.36","55.42","8.64","7.18","54.60","1.46","1.32","52.50","16.92","81.59","16.26","15.82","50.68","8.39","8.32","50.20","0.64","0.63","50.35","7.68","92.37","23.35","22.15","51.32","12.6","10.81","53.83","0.37","0.27","58.29","2.97","97.52","8.05","91.94","1.000"
"17","Columbus Blue Jackets","82","49.778","47","31","4","45","98","0.598","55.07","53.78","50.59","42.82","40.41","51.44","31.26","29.32","51.59","2.76","2.51","52.33","2.37","2.25","51.20","26.47","24.77","51.66","17.41","15.82","52.39","2.33","2.16","51.91","13.37","86.37","10.83","10.17","51.56","8.31","7.91","51.21","1.49","1.35","52.42","17.88","82.96","15.65","14.58","51.76","9.1","7.91","53.52","0.84","0.81","50.95","9.23","89.77","23.65","23.82","49.82","12.27","12.06","50.44","0.41","0.34","54.52","3.31","97.19","8.83","91.43","1.003"
