"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Montreal Canadiens","82","47.7526","37","38","7","33","81","0.494","56.1","53.17","51.34","40.92","38.96","51.22","30.1","28.63","51.25","2.25","2.31","49.29","2.21","2.09","51.33","24.02","24.29","49.71","14.53","14.52","50.02","1.99","2.07","48.99","13.69","85.73","10.46","9.96","51.22","7.76","7.41","51.16","1.16","1.39","45.63","15.00","81.27","13.53","14.33","48.56","6.75","7.11","48.69","0.82","0.69","54.24","12.12","90.30","26.5","23.83","52.65","14.36","12.92","52.65","0.24","0.24","50.37","1.67","98.16","7.47","91.92","0.994"
"2","Toronto Maple Leafs","82","47.15","29","42","11","23","69","0.421","56.92","56.12","50.36","41.95","43.65","49.01","28.69","31","48.07","1.84","2.49","42.57","2.19","2.19","50.03","25.39","24.35","51.04","14.82","15.33","49.16","1.59","1.99","44.35","10.70","87.02","9.42","9.25","50.45","7.05","6.77","51.02","1.08","1.11","49.49","15.38","83.65","15.92","15.13","51.28","7.79","8.55","47.66","0.51","0.88","36.63","6.53","89.72","27.43","27.98","49.51","12.92","14.74","46.72","0.23","0.48","31.93","1.75","96.73","6.43","91.98","0.984"
"3","New York Rangers","82","48.7264","46","27","8","43","100","0.610","51.7","55.97","48.02","38.5","40.93","48.47","27.29","29.01","48.47","2.44","1.93","55.87","2.17","2.39","47.59","24.18","26.83","47.41","14.29","15.24","48.39","2.04","1.72","54.22","14.25","88.72","10.59","11.87","47.15","7.66","8.49","47.43","1.44","1.37","51.37","18.84","83.91","13.58","14.92","47.65","6.62","6.75","49.50","0.59","0.35","62.63","8.91","94.79","22.53","24.37","48.04","11.39","12.53","47.62","0.37","0.21","63.35","3.23","98.30","8.94","93.36","1.023"
"4","Chicago Blackhawks","82","48.6522","47","26","9","46","103","0.628","55.52","52.97","51.18","40.26","39.33","50.58","29.96","29.15","50.68","2.01","2.09","49.10","2.14","2.23","48.91","24.05","23.93","50.13","14.9","15.01","49.80","1.65","1.72","49.00","11.08","88.56","9.53","10.54","47.49","7.41","8.21","47.45","1.11","1.14","49.48","15.02","86.15","14.53","13.33","52.17","7.47","6.8","52.37","0.54","0.58","48.14","7.26","91.41","26.43","25.07","51.32","14.14","13.19","51.75","0.36","0.36","50.32","2.56","97.29","6.72","92.84","0.996"
"5","Vancouver Canucks","82","48.1419","31","38","13","26","75","0.457","49.13","55.64","46.89","36.89","42.8","46.29","27.19","31.24","46.54","1.87","2.34","44.41","1.86","2.38","43.94","23.27","29.12","44.42","14.43","17.96","44.55","1.51","2.02","42.82","10.46","88.78","9.25","11.78","43.99","7.1","8.49","45.56","1.03","1.31","44.01","14.55","84.51","13.99","17.32","44.69","7.33","9.47","43.63","0.48","0.7","40.55","6.52","92.60","21.69","22.62","48.96","11.71","12.3","48.78","0.34","0.33","50.65","2.87","97.34","6.87","92.52","0.994"
"6","Calgary Flames","82","48.3567","35","40","7","33","77","0.470","52.34","57.24","47.76","38.07","40.93","48.19","27.86","28.69","49.27","2.29","2.54","47.39","2.07","2.23","48.19","24.75","25.42","49.34","15.41","15.07","50.56","2.02","2.22","47.60","13.09","85.26","9.5","10.46","47.59","7.31","8.01","47.70","1.31","1.52","46.24","17.94","80.98","15.22","14.93","50.48","8.11","7.05","53.47","0.71","0.7","50.28","8.71","90.10","23.36","26.5","46.85","11.9","12.51","48.74","0.27","0.32","45.71","2.24","97.46","8.21","91.14","0.994"
"7","San Jose Sharks","82","48.1663","46","30","6","42","98","0.598","55.4","51.21","51.96","40.87","35.84","53.28","28.97","25.72","52.98","2.23","2","52.75","2.3","1.85","55.40","26.09","21.5","54.82","15.33","13.39","53.38","1.85","1.72","51.89","12.08","87.17","11.91","8.59","58.09","8.57","6.58","56.54","1.37","1.05","56.56","15.93","84.08","14.17","12.87","52.40","6.75","6.8","49.83","0.49","0.67","42.15","7.20","90.18","24.57","24.23","50.35","12.82","11.38","52.97","0.39","0.27","59.26","3.01","97.67","7.71","92.22","0.999"
"8","Los Angeles Kings","82","47.9959","48","28","6","46","102","0.622","62.51","47.2","56.98","46.68","35.73","56.64","31.66","25.67","55.23","2.15","1.83","53.95","2.36","1.94","54.96","27.61","22.06","55.59","15.52","13.31","53.84","1.73","1.41","55.03","11.12","89.40","11.02","8.67","55.96","7.57","6.48","53.88","1.26","0.92","57.76","16.66","85.76","16.59","13.34","55.44","7.95","6.82","53.81","0.47","0.49","48.96","5.88","92.86","28.94","21.47","57.41","14.88","11.21","57.03","0.4","0.41","49.35","2.67","96.36","6.78","92.86","0.996"
"9","Winnipeg Jets","82","47.1112","35","39","8","32","78","0.476","54.4","52.26","51.00","40.35","38.86","50.94","29.2","28.16","50.91","2.23","2.24","49.86","2.17","2.16","50.11","25.14","24.15","51.01","15.5","15.03","50.77","1.85","1.99","48.18","11.96","86.73","10.13","10.39","49.37","7.52","7.68","49.49","1.2","1.43","45.58","15.94","81.35","15.01","13.78","52.14","7.97","7.34","52.06","0.66","0.56","53.83","8.23","92.33","24.53","23.3","51.28","12.81","12.17","51.30","0.36","0.24","60.30","2.82","98.04","7.62","92.05","0.997"
"10","Boston Bruins","82","48.1213","42","31","9","38","93","0.567","54.71","55.12","49.81","41.46","41.7","49.85","30.99","29.6","51.14","2.4","2.3","51.12","2.02","2.09","49.17","23.62","24.46","49.13","15.06","14.79","50.44","2.01","1.88","51.66","13.35","87.29","8.92","9.23","49.15","6.97","7","49.90","1.46","1.31","52.61","20.88","81.27","14.72","15.17","49.24","8.1","7.79","50.97","0.56","0.57","49.63","6.94","92.67","26.42","26.72","49.72","14.45","13.67","51.39","0.39","0.4","49.51","2.72","97.07","7.76","92.23","1.000"
