"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","Ottawa Senators","82","48.302","38","35","9","32","85","0.518","51.31","58.29","46.82","37.47","43.6","46.21","26.92","31.89","45.77","2.24","2.23","50.06","1.97","2.24","46.82","23.05","27.18","45.90","13.28","15.98","45.39","1.75","1.93","47.58","13.17","87.94","9.48","10.43","47.62","6.81","7.67","47.03","1.16","1.14","50.32","17.02","85.08","13.52","16.78","44.63","6.46","8.31","43.72","0.59","0.78","42.77","9.07","90.57","23.97","26.69","47.32","12.7","14.86","46.07","0.48","0.31","60.83","3.78","97.92","8.32","92.99","1.013"
"12","Buffalo Sabres","82","48.7024","35","36","11","33","81","0.494","49.03","55.57","46.87","37.05","42.13","46.79","27.26","30.07","47.55","1.82","2.25","44.71","1.84","2.11","46.57","21.43","22.94","48.31","12.62","13.72","47.91","1.51","1.85","44.84","11.93","86.50","8.85","9.42","48.45","6.41","6.87","48.27","1.07","1.34","44.42","16.66","80.55","12.53","13.54","48.07","6.2","6.85","47.49","0.44","0.51","46.19","7.07","92.55","23.76","27.69","46.18","13.5","15.41","46.70","0.3","0.39","43.19","2.22","97.44","6.66","92.53","0.992"
"13","Philadelphia Flyers","82","46.965","41","27","14","38","96","0.585","56.61","56.3","50.14","40.56","40.56","50.00","28.95","30.29","48.87","2.07","1.99","50.94","2.1","2.22","48.65","22.97","24.58","48.31","13.36","14.91","47.26","1.71","1.73","49.73","12.82","88.39","9.51","9.77","49.34","6.94","7.32","48.65","1.21","1.23","49.62","17.44","83.22","13.42","14.83","47.51","6.41","7.59","45.80","0.5","0.51","49.75","7.82","93.33","27.16","26.05","51.04","13.86","14.03","49.71","0.33","0.26","56.05","2.41","98.13","7.14","93.43","1.006"
"14","Tampa Bay Lightning","82","46.6579","46","31","5","43","97","0.591","55.72","50.23","52.59","41.37","38.39","51.87","29.3","27.49","51.60","2.33","1.95","54.45","2.07","1.87","52.52","25.08","22.4","52.82","15.36","13.99","52.34","1.93","1.57","55.21","12.58","88.80","9.77","8.71","52.88","7.05","6.65","51.48","1.14","1.03","52.45","16.11","84.51","15.3","13.66","52.83","8.31","7.33","53.12","0.8","0.54","59.74","9.60","92.67","27.01","24.41","52.53","13.09","12.54","51.07","0.4","0.36","52.49","3.08","97.09","7.96","92.90","1.009"
"15","Edmonton Oilers","82","48.2124","31","43","8","27","70","0.427","53.01","57.09","48.15","38.52","42.14","47.76","27.93","30.24","48.02","2.02","2.58","43.88","2.11","2.26","48.19","24.08","26.32","47.78","14.88","15.9","48.34","1.78","2.08","46.05","11.94","86.91","9.47","10.71","46.93","7.31","7.6","49.03","1.24","1.34","48.07","17.03","82.30","14.54","15.64","48.18","7.57","8.31","47.67","0.53","0.74","41.64","6.94","91.14","24.28","25.96","48.34","12.12","13.55","47.20","0.24","0.46","33.89","1.97","96.57","7.22","91.47","0.987"
"16","St Louis Blues","82","47.6463","49","24","9","44","107","0.652","55.72","50.65","52.38","41.67","37.52","52.62","30.53","27.49","52.62","2.15","1.9","53.00","2.25","2.03","52.50","26.71","24.27","52.40","16.7","14.92","52.82","1.71","1.58","51.92","10.25","89.38","10.32","9.72","51.50","7.96","7.39","51.85","1.21","1.14","51.45","15.15","84.61","16.41","14.52","53.04","8.74","7.53","53.71","0.51","0.45","53.18","5.82","94.06","25.14","22.57","52.70","12.77","11.71","52.16","0.44","0.32","57.99","3.41","97.31","7.03","93.08","1.001"
"17","Carolina Hurricanes","82","49.21","36","31","15","33","87","0.530","54.17","51.22","51.40","40.27","39.25","50.65","28.29","27.25","50.94","1.95","2.35","45.31","2.29","2.29","49.93","24","24.6","49.38","14.21","14.48","49.53","1.6","2.01","44.31","11.25","86.13","10.31","10.84","48.74","7.53","7.42","50.35","1.08","1.32","44.91","14.34","82.16","13.64","13.76","49.78","6.66","7.05","48.60","0.52","0.68","43.26","7.80","90.32","25.6","22.77","52.93","13.27","11.98","52.56","0.35","0.35","50.05","2.62","97.11","6.88","91.37","0.983"
"18","Nashville Predators","82","47.8104","41","27","14","37","96","0.585","55.79","50.05","52.71","41.59","35.79","53.75","29.6","26.42","52.84","2.15","2.08","50.82","2.08","1.8","53.62","23.94","20.36","54.05","14.71","12.56","53.94","1.75","1.71","50.50","11.88","86.36","9.26","7.58","54.98","7.01","5.74","54.94","1.13","1.23","47.89","16.08","78.66","14.68","12.76","53.50","7.71","6.81","53.09","0.62","0.49","56.01","8.03","92.86","26.72","23.36","53.35","14.16","12.38","53.35","0.38","0.37","51.06","2.70","97.04","7.27","92.12","0.994"
"19","Pittsburgh Penguins","82","47.6152","48","26","8","44","104","0.634","57.84","51.42","52.94","43.38","38.39","53.05","32.34","28.38","53.26","2.44","1.98","55.24","2.48","1.96","55.77","27.72","22.55","55.14","17.8","14.42","55.25","2.13","1.62","56.75","11.98","88.73","11.39","9.21","55.29","9.05","7.19","55.71","1.4","1.16","54.69","15.47","83.88","16.31","13.33","55.03","8.76","7.22","54.82","0.74","0.46","61.44","8.43","93.58","25.59","24.45","51.13","13.44","12.88","51.07","0.3","0.35","46.64","2.26","97.30","7.55","93.03","1.006"
"20","Dallas Stars","82","48.0272","50","23","9","48","109","0.665","61.13","54.79","52.73","44.94","40.44","52.63","31.21","27.88","52.82","2.5","2.33","51.82","2.49","2.22","52.82","29.42","25.9","53.18","17.18","14.7","53.90","2.11","1.91","52.47","12.27","87.01","11.99","11.2","51.69","8.53","7.88","51.98","1.5","1.44","51.16","17.64","81.76","17.39","14.66","54.25","8.67","6.82","55.97","0.61","0.47","56.27","7.03","93.06","26.01","23.23","52.83","12.94","11.91","52.06","0.37","0.42","46.90","2.87","96.46","8.01","91.66","0.997"
"21","Minnesota Wild","82","48.5744","38","33","11","35","87","0.530","50.25","54.47","47.99","37.85","39.84","48.72","27.26","27.57","49.72","2.08","1.92","52.00","1.97","1.94","50.45","21.53","22.67","48.71","13.08","13.49","49.21","1.78","1.52","53.88","13.62","88.70","9.1","9.23","49.65","6.78","6.94","49.42","1.22","1.07","53.17","17.99","84.52","12.4","13.41","48.04","6.3","6.54","49.08","0.56","0.45","55.24","8.88","93.06","24.12","26.27","47.87","13.51","12.98","51.01","0.3","0.38","44.29","2.22","97.09","7.62","93.04","1.007"
"22","Colorado Avalanche","82","47.4435","39","39","4","35","82","0.500","48.7","61.77","44.09","36.8","44.75","45.12","27.11","31.88","45.96","2.12","2.35","47.51","1.85","2.37","43.89","20.43","27.35","42.76","12.74","16.69","43.29","1.71","1.84","48.23","13.44","88.99","8.41","11.26","42.76","6.37","8.36","43.22","1.23","1.26","49.36","19.31","84.92","11.99","16.07","42.73","6.37","8.32","43.36","0.48","0.58","45.45","7.52","93.09","22.94","28.09","44.95","12.95","13.91","48.22","0.39","0.47","45.45","3.00","96.64","7.83","92.64","1.005"
"23","New Jersey Devils","82","47.2561","38","36","8","36","84","0.512","41.62","49.01","45.93","32.08","36.59","46.72","23.06","27.03","46.04","1.68","2.05","45.10","1.83","1.99","47.87","19.44","21.34","47.67","12.22","13.4","47.70","1.49","1.59","48.35","12.16","88.15","8.02","8.55","48.41","6.14","6.44","48.78","1.05","1.07","49.55","17.12","83.40","11.38","12.8","47.07","6.08","6.95","46.66","0.44","0.51","45.82","7.16","92.59","19.64","23.3","45.73","10.36","12.74","44.86","0.2","0.45","30.42","1.88","96.50","7.30","92.42","0.997"
"24","Columbus Blue Jackets","82","47.7217","34","40","8","28","76","0.463","51.64","56.96","47.55","38.67","41.65","48.14","28.31","30.14","48.44","2.26","2.45","48.02","2.43","2.36","50.74","24.84","24.95","49.89","15.32","15.37","49.91","1.91","2","48.93","12.50","87.01","11.86","10.39","53.30","8.8","7.95","52.55","1.44","1.41","50.62","16.41","82.28","12.95","14.56","47.07","6.48","7.41","46.66","0.46","0.59","43.84","7.06","92.09","22.59","26.97","45.58","12.43","13.83","47.34","0.31","0.42","42.55","2.50","96.96","7.98","91.88","0.999"
"25","Detroit Red Wings","82","47.0884","41","30","11","39","93","0.567","52.59","48.98","51.78","39.73","39.31","50.27","28.66","29.01","49.69","2.01","2.14","48.50","2.2","2.16","50.49","24.54","23.31","51.28","14.9","15.03","49.78","1.59","1.78","47.23","10.71","88.14","9.68","10.1","48.94","7.36","7.99","47.95","1.05","1.29","44.94","14.29","83.88","14.83","13.2","52.91","7.54","7.04","51.71","0.54","0.49","52.14","7.14","92.98","23.81","22.27","51.67","12.48","12.83","49.30","0.39","0.35","52.81","3.15","97.26","7.03","92.63","0.997"
"26","New York Islanders","82","48.9433","44","27","10","40","98","0.598","54.76","55.45","49.68","39.95","39.97","49.99","28.35","29.15","49.30","2.3","2.17","51.37","2.2","2.32","48.66","25.88","27.6","48.39","15.51","16.99","47.72","1.78","1.8","49.63","11.47","89.38","10.42","11.16","48.27","7.93","8.82","47.34","1.31","1.27","50.72","16.49","85.60","15.45","16.42","48.48","7.58","8.17","48.13","0.47","0.53","46.95","6.20","93.50","22.85","22.5","50.39","10.95","10.76","50.45","0.51","0.32","61.37","4.66","97.01","8.10","92.54","1.006"
"27","Arizona Coyotes","82","46.011","35","39","8","34","78","0.476","50.47","58.41","46.35","37.48","44.26","45.85","26.41","30.75","46.20","2.07","2.15","49.00","1.89","2.25","45.74","22","26.15","45.69","13.53","15.48","46.64","1.66","1.75","48.77","12.30","88.71","9.32","10.05","48.12","7.1","7.46","48.75","1.25","1.23","50.34","17.56","83.52","12.64","16.08","44.01","6.41","8.02","44.44","0.41","0.52","44.26","6.44","93.51","23.3","27.72","45.67","11.33","14.15","44.48","0.39","0.36","51.46","3.41","97.42","7.84","93.00","1.008"
"28","Florida Panthers","82","47.1238","47","26","9","40","103","0.628","48.46","49.63","49.40","38.13","38.9","49.50","28","28.2","49.83","2.48","1.93","56.20","2.02","2.05","49.63","22.54","21.84","50.79","14.78","14.24","50.92","2.13","1.67","55.99","14.40","88.26","9.1","9.07","50.07","6.99","7.13","49.49","1.3","1.19","52.35","18.67","83.34","13.46","12.7","51.45","7.8","7.11","52.31","0.82","0.49","62.73","10.51","93.15","22.54","23.86","48.58","12.29","12.95","48.69","0.35","0.25","57.81","2.84","98.03","8.85","93.15","1.020"
"29","Washington Capitals","82","48.0378","56","18","8","52","120","0.732","56.34","52.96","51.54","41.58","38.56","51.88","30.06","27.05","52.64","2.49","1.94","56.18","2.22","2.03","52.21","26.41","24.65","51.72","16.23","14.04","53.62","2.15","1.71","55.77","13.26","87.85","10.29","9.78","51.28","7.53","7.21","51.10","1.5","1.18","55.91","19.88","83.62","16.17","14.8","52.20","8.7","6.82","56.04","0.65","0.52","55.56","7.53","92.32","25.54","23.98","51.58","12.49","11.8","51.42","0.35","0.24","59.04","2.79","97.95","8.29","92.81","1.011"
"30","Anaheim Ducks","82","47.3077","46","25","11","43","103","0.628","56.54","50.21","52.96","42.57","36.86","53.60","29.7","26.25","53.08","1.96","2.01","49.37","2.24","1.98","53.00","26.12","23.09","53.07","15.63","13.83","53.05","1.72","1.72","49.96","10.98","87.57","10.26","9.55","51.79","7.76","7.06","52.33","1.16","1.18","49.48","14.90","83.30","15.88","13.48","54.09","7.86","6.76","53.77","0.56","0.53","51.47","7.14","92.17","26.24","23.07","53.22","12.76","11.15","53.37","0.23","0.27","46.07","1.83","97.55","6.61","92.33","0.989"
