"","Team","GP","TOI","W","L","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","New York Islanders","11","601.25","5","6","525","617","45.97","405","459","46.88","290","328","46.93","14","24","36.84","21.28","24.62","46.37","261","321","44.85","170","191","47.09","12","21","36.36","7.06","89.01","100","122","45.05","80","89","47.34","8","13","38.10","10.00","85.39","161","199","44.72","90","102","46.88","4","8","33.33","4.44","92.16","215","257","45.55","104","123","45.81","2","3","40.00","1.92","97.56","4.83","92.68","0.975"
"2","Florida Panthers","6","371.25","2","4","389","323","54.63","291","253","53.49","206","185","52.69","11","8","57.89","15.85","13.15","54.66","204","163","55.59","124","107","53.68","10","7","58.82","8.06","93.46","75","61","55.15","58","49","54.21","8","6","57.14","13.79","87.76","129","102","55.84","66","58","53.23","2","1","66.67","3.03","98.28","163","123","56.99","75","65","53.57","1","1","50.00","1.33","98.46","5.34","95.68","1.010"
"3","Detroit Red Wings","5","206.8","1","4","196","187","51.17","149","144","50.85","120","101","54.30","7","7","50.00","7.73","6.91","52.78","92","85","51.98","67","47","58.77","6","7","46.15","8.96","85.11","34","30","53.13","27","23","54.00","4","4","50.00","14.81","82.61","58","55","51.33","40","24","62.50","2","3","40.00","5.00","87.50","90","89","50.28","49","51","49.00","1","0","100.00","2.04","100.00","5.83","93.07","0.989"
"4","Tampa Bay Lightning","17","776.7833","11","6","700","747","48.38","513","576","47.11","366","432","45.86","36","29","55.38","24.97","31.7","44.06","325","371","46.70","191","257","42.63","31","26","54.39","16.23","89.88","122","151","44.69","92","121","43.19","16","15","51.61","17.39","87.60","203","220","47.99","99","136","42.13","15","11","57.69","15.15","91.91","321","326","49.61","161","162","49.85","5","3","62.50","3.11","98.15","9.84","93.29","1.031"
"5","Philadelphia Flyers","6","263","2","4","242","281","46.27","167","190","46.78","114","126","47.50","3","6","33.33","7.42","10.23","42.02","96","127","43.05","46","59","43.81","3","2","60.00","6.52","96.61","40","55","42.11","25","36","40.98","2","2","50.00","8.00","94.44","56","72","43.75","21","23","47.73","1","0","100.00","4.76","100.00","119","128","48.18","56","59","48.70","0","3","0.00","0.00","94.92","2.63","95.24","0.979"
"6","Washington Capitals","12","555.8","6","6","602","557","51.94","418","405","50.79","290","281","50.79","15","16","48.39","21.58","18.01","54.51","274","220","55.47","147","113","56.54","9","12","42.86","6.12","89.38","112","87","56.28","77","56","57.89","8","9","47.06","10.39","83.93","162","133","54.92","70","57","55.12","1","3","25.00","1.43","94.74","268","290","48.03","123","152","44.73","5","4","55.56","4.07","97.37","5.17","94.31","0.995"
"7","New York Rangers","5","227.5833","1","4","242","200","54.75","171","146","53.94","118","114","50.86","7","10","41.18","9.21","9.49","49.26","111","95","53.88","72","67","51.80","7","10","41.18","9.72","85.07","45","47","48.91","33","43","43.42","5","9","35.71","15.15","79.07","66","48","57.89","39","24","61.90","2","1","66.67","5.13","95.83","103","90","53.37","40","45","47.06","0","0","-","0.00","100.00","5.93","91.23","0.972"
"8","Pittsburgh Penguins","24","1187.1833","16","8","1219","1142","51.63","905","778","53.77","673","542","55.39","50","42","54.35","50.55","39.09","56.39","569","503","53.08","365","301","54.80","44","35","55.70","12.05","88.37","241","189","56.05","193","141","57.78","32","23","58.18","16.58","83.69","328","314","51.09","172","160","51.81","12","12","50.00","6.98","92.50","563","515","52.23","291","215","57.51","6","7","46.15","2.06","96.74","7.43","92.25","0.997"
"9","Minnesota Wild","6","292.3","2","4","243","310","43.94","167","197","45.88","123","128","49.00","11","16","40.74","8.25","8.91","48.08","96","115","45.50","57","60","48.72","11","12","47.83","19.30","80.00","42","47","47.19","31","33","48.44","10","8","55.56","32.26","75.76","54","68","44.26","26","27","49.06","1","4","20.00","3.85","85.19","126","157","44.52","64","67","48.85","0","4","0.00","0.00","94.03","8.94","87.50","0.964"
"10","Dallas Stars","13","645.5333","7","6","654","558","53.96","452","403","52.87","301","283","51.54","28","27","50.91","23.69","21.42","52.52","280","244","53.44","160","143","52.81","23","26","46.94","14.38","81.82","127","101","55.70","90","74","54.88","16","20","44.44","17.78","72.97","153","143","51.69","70","69","50.36","7","6","53.85","10.00","91.30","304","252","54.68","135","123","52.33","5","1","83.33","3.70","99.19","9.30","90.46","0.998"
"11","Chicago Blackhawks","7","378.5833","3","4","364","325","52.83","273","238","53.42","207","174","54.33","10","13","43.48","14.54","13.15","52.51","170","146","53.80","111","89","55.50","7","8","46.67","6.31","91.01","60","67","47.24","50","50","50.00","6","6","50.00","12.00","88.00","110","79","58.20","61","39","61.00","1","2","33.33","1.64","94.87","166","157","51.39","87","79","52.41","3","5","37.50","3.45","93.67","4.83","92.53","0.974"
"12","St Louis Blues","20","1013.3167","10","10","867","965","47.33","624","711","46.74","442","505","46.67","35","36","49.30","33.8","40.53","45.47","374","469","44.37","220","287","43.39","29","30","49.15","13.18","89.55","161","200","44.60","116","149","43.77","21","22","48.84","18.10","85.23","213","269","44.19","104","138","42.98","8","8","50.00","7.69","94.20","387","416","48.19","189","201","48.46","6","6","50.00","3.17","97.01","7.92","92.87","1.008"
"13","Nashville Predators","14","708.75","7","7","687","672","50.55","473","464","50.48","312","310","50.16","22","26","45.83","22.66","23.96","48.61","270","274","49.63","153","147","51.00","22","23","48.89","14.38","84.35","101","110","47.87","79","76","50.97","19","18","51.35","24.05","76.32","169","164","50.75","74","71","51.03","3","5","37.50","4.05","92.96","341","307","52.62","148","150","49.66","0","3","0.00","0.00","98.00","7.05","91.61","0.987"
"14","Anaheim Ducks","7","314.25","3","4","295","293","50.17","211","216","49.41","146","145","50.17","12","12","50.00","10.45","10.15","50.73","115","113","50.44","66","67","49.62","11","12","47.83","16.67","82.09","42","44","48.84","31","37","45.59","9","10","47.37","29.03","72.97","73","69","51.41","35","30","53.85","2","2","50.00","5.71","93.33","148","151","49.50","69","70","49.64","1","0","100.00","1.45","100.00","8.22","91.72","0.999"
"15","San Jose Sharks","24","1240.35","14","10","1132","1219","48.15","764","808","48.60","506","550","47.92","48","34","58.54","42.71","42.39","50.19","520","506","50.68","270","274","49.63","40","32","55.56","14.81","88.32","217","208","51.06","144","144","50.00","26","26","50.00","18.06","81.94","303","298","50.42","126","130","49.22","14","6","70.00","11.11","95.38","485","558","46.50","225","253","47.07","8","2","80.00","3.56","99.21","9.49","93.82","1.033"
"16","Los Angeles Kings","5","237.5333","1","4","243","204","54.36","155","150","50.82","90","100","47.37","7","10","41.18","7.76","8.76","47.00","100","105","48.78","39","49","44.32","6","8","42.86","15.38","83.67","47","47","50.00","23","28","45.10","5","4","55.56","21.74","85.71","53","58","47.75","16","21","43.24","1","4","20.00","6.25","80.95","106","89","54.36","48","49","49.48","1","2","33.33","2.08","95.92","7.78","90.00","0.978"
