"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Toronto Maple Leafs","82","47.7335","38","36","8","29","84","0.512","49.05","66.9","42.30","36.49","50.94","41.74","26.41","35.09","42.95","2.25","2.56","46.71","1.91","2.55","42.75","22.27","29.66","42.88","13.77","17.03","44.70","1.84","2.17","45.93","13.39","87.26","8.01","11.15","41.80","6.03","7.98","43.05","1.08","1.35","44.51","17.91","83.12","14.22","18.49","43.48","7.75","9.04","46.14","0.77","0.81","48.54","9.90","91.01","23.34","32.82","41.56","11.8","16.9","41.11","0.4","0.37","51.60","3.38","97.79","8.51","92.69","1.012"
"2","Montreal Canadiens","82","46.565","46","28","8","40","100","0.610","52.92","59.69","46.99","39.04","42.08","48.12","27.58","30.27","47.68","2.08","2.12","49.49","2.14","2.28","48.31","23.6","26.77","46.86","13.56","15.51","46.64","1.81","1.9","48.91","13.38","87.78","10.38","10.68","49.27","7.6","7.44","50.54","1.28","1.25","50.48","16.84","83.12","13.22","16.07","45.12","5.96","8.09","42.44","0.53","0.65","45.16","8.96","91.98","24.57","27.07","47.59","12.92","13.59","48.74","0.26","0.22","54.63","2.01","98.41","7.55","92.98","1.005"
"3","Washington Capitals","82","47.3026","38","30","14","28","90","0.549","51.49","57","47.46","37.81","42.7","46.96","26.97","31.39","46.21","2.08","2.35","47.00","1.99","2.21","47.37","23.66","26.44","47.23","14.36","16.06","47.20","1.69","2","45.71","11.74","87.53","9","9.79","47.91","6.81","7.21","48.59","1.16","1.13","50.78","17.06","84.37","14.64","16.62","46.84","7.57","8.85","46.10","0.52","0.88","37.43","6.93","90.10","23.75","26.51","47.25","11.79","14.43","44.95","0.38","0.33","53.26","3.23","97.68","7.72","92.52","1.002"
"4","Chicago Blackhawks","82","48.714","46","21","15","40","107","0.652","58.96","46.09","56.13","43.51","34.28","55.94","32.68","25.64","56.04","2.73","2.2","55.42","2.35","1.86","55.83","27.32","21.07","56.45","17.25","13.15","56.74","2.29","1.79","56.07","13.27","86.36","11.21","8.62","56.54","9.11","6.84","57.11","1.75","1","63.54","19.20","85.33","16.12","12.4","56.52","8.14","6.31","56.34","0.54","0.79","40.53","6.63","87.45","26.34","21.21","55.40","14.48","11.51","55.71","0.41","0.4","50.48","2.81","96.53","8.35","91.44","0.998"
"5","Winnipeg Jets","82","47.3291","37","35","10","29","84","0.512","55.63","56.19","49.75","41.46","41.05","50.25","29.81","29.53","50.24","2.35","2.5","48.45","2.3","2.26","50.45","24.79","24.43","50.36","15.44","15.02","50.69","1.98","2.06","49.03","12.81","86.31","10.87","10.46","50.95","8.21","7.78","51.35","1.31","1.52","46.37","16.00","80.46","13.87","13.98","49.79","7.21","7.25","49.85","0.66","0.54","54.95","9.19","92.51","25.65","25.56","50.09","13.34","13.25","50.18","0.37","0.44","45.71","2.79","96.66","7.88","91.54","0.994"
"6","Edmonton Oilers","82","46.8146","29","44","9","25","67","0.409","47.05","61.88","43.19","35.04","46.11","43.18","25.22","32.53","43.67","1.99","2.8","41.60","1.96","2.52","43.78","23.52","28.97","44.81","14.46","17.19","45.68","1.79","2.25","44.32","12.41","86.89","9.39","11.1","45.81","6.94","8.57","44.76","1.2","1.5","44.46","17.28","82.51","14.08","17.91","44.00","7.52","8.61","46.62","0.59","0.76","43.89","7.86","91.22","19.93","28.37","41.27","9.99","14.49","40.82","0.2","0.54","26.58","1.97","96.25","7.90","91.40","0.993"
"7","Philadelphia Flyers","82","45.5884","42","30","10","39","94","0.573","56.13","56.08","50.02","40.54","41.76","49.26","28.69","30.96","48.10","2.3","2.4","48.89","2.09","2.14","49.34","22.95","24.45","48.42","13.4","14.83","47.47","1.9","1.91","49.90","14.18","87.13","8.96","9.07","49.70","6.59","6.82","49.15","1.15","1.23","48.31","17.49","81.91","13.98","15.38","47.61","6.81","8.01","45.97","0.75","0.67","52.85","10.99","91.66","26.77","26.64","50.13","13.65","14.64","48.25","0.35","0.46","42.98","2.55","96.84","8.01","92.24","1.003"
"8","Buffalo Sabres","82","47.4447","21","51","10","14","52","0.317","44.53","62.82","41.48","33.35","46.96","41.52","24.55","33.88","42.02","1.45","2.55","36.33","1.75","2.49","41.25","19.54","28.77","40.44","12.02","17.68","40.47","1.31","2.12","38.20","10.90","88.02","8.5","11.78","41.93","6.5","8.72","42.71","0.92","1.39","39.96","14.19","84.11","10.92","17.06","39.04","5.49","8.95","38.00","0.38","0.73","34.52","6.99","91.88","21.25","29.14","42.17","11.42","15.53","42.39","0.13","0.4","24.28","1.12","97.43","5.92","92.49","0.984"
"9","Detroit Red Wings","82","47.0016","39","28","15","34","93","0.567","51.87","48.14","51.87","39.95","37.16","51.81","29.02","28.1","50.81","2.38","2.25","51.39","2.02","1.91","51.28","23.16","21.35","52.03","14.93","14.17","51.30","2.1","1.99","51.27","14.03","85.95","8.6","9.07","48.69","6.82","7.26","48.44","1.26","1.35","48.19","18.41","81.41","14.57","12.25","54.32","8.11","6.91","53.97","0.84","0.65","56.56","10.38","90.65","24.31","22.74","51.67","13.04","12.82","50.42","0.28","0.26","52.34","2.19","97.98","8.19","92.00","1.002"
"10","Anaheim Ducks","82","47.0553","54","20","8","51","116","0.707","55.36","54.08","50.59","41.94","40.53","50.85","30.29","27.83","52.12","2.96","2.09","58.56","2.38","2.27","51.14","27.01","25.92","51.03","16.71","15.27","52.25","2.57","1.93","57.12","15.35","87.39","11.85","10.54","52.93","9.21","8.06","53.32","1.82","1.44","55.96","19.81","82.19","15.18","15.31","49.78","7.49","7.2","50.97","0.73","0.49","59.63","9.76","93.13","24.41","24.86","49.55","12.55","11.69","51.78","0.39","0.17","69.81","3.11","98.55","9.77","92.48","1.022"
"11","Colorado Avalanche","82","48.2222","52","22","8","47","112","0.683","51.88","57.71","47.34","38.53","43.54","46.95","28.47","30.98","47.90","2.5","2.2","53.10","2.09","2.36","47.00","23.6","26.32","47.28","14.83","16.37","47.54","2","1.89","51.35","13.47","88.44","9.84","11.59","45.91","7.45","8.73","46.04","1.44","1.49","49.16","19.38","82.89","13.76","14.67","48.41","7.39","7.63","49.21","0.55","0.4","58.21","7.49","94.79","23.07","25.82","47.19","12.71","13.59","48.31","0.5","0.3","62.49","3.96","97.78","8.77","92.88","1.016"
