"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"12","Tampa Bay Lightning","82","47.2986","46","27","9","38","101","0.616","55.03","52.05","51.39","41.94","39.32","51.61","29.89","27.44","52.13","2.33","2.01","53.76","2.11","2.01","51.21","26.2","24.57","51.61","16.08","15.31","51.23","1.99","1.76","53.08","12.38","88.51","9.81","9.15","51.76","7.17","6.88","51.02","1.25","1.11","53.09","17.50","83.90","16.4","15.37","51.63","8.91","8.42","51.42","0.74","0.65","53.09","8.27","92.27","25.4","23.74","51.69","13.05","11.26","53.68","0.34","0.23","59.52","2.61","97.94","7.80","92.69","1.005"
"13","Boston Bruins","82","48.6561","54","19","9","51","117","0.713","59.51","48.26","55.22","44.03","36.73","54.52","31.71","27.1","53.92","2.64","1.64","61.75","2.16","1.8","54.59","26.33","21.62","54.91","15.49","13.34","53.73","2.16","1.4","60.60","13.92","89.49","9.68","8.24","54.03","7.38","6.58","52.89","1.5","0.87","63.41","20.32","86.84","16.73","13.25","55.80","8.12","6.76","54.58","0.66","0.54","55.27","8.16","92.06","28.51","23.16","55.17","15.14","12.22","55.34","0.47","0.22","67.98","3.09","98.19","8.33","93.96","1.023"
"14","New Jersey Devils","82","48.0795","35","29","18","35","88","0.537","49.27","40.92","54.63","36.75","31.61","53.76","26.23","23.7","52.53","1.86","2.02","47.93","2.08","1.63","56.00","24.32","19.17","55.92","15.09","12.14","55.41","1.65","1.54","51.75","10.93","87.33","9.7","6.81","58.74","7.32","5.52","56.98","1.05","0.99","51.38","14.33","82.04","14.63","12.35","54.22","7.77","6.62","54.03","0.6","0.54","52.57","7.77","91.76","21.89","18.55","54.13","10.74","10.47","50.62","0.2","0.47","29.70","1.85","95.51","7.10","91.47","0.986"
"15","Pittsburgh Penguins","82","47.6264","51","24","7","44","109","0.665","51.65","53.07","49.33","38.62","38.92","49.81","28.56","27.04","51.36","2.34","2.24","51.10","1.99","1.96","50.36","22.91","22.25","50.74","14.25","13.16","51.99","2.08","1.9","52.30","14.61","85.57","8.71","8.85","49.60","6.65","6.5","50.56","1.28","1.17","52.30","19.25","82.04","14.23","13.34","51.62","7.59","6.65","53.28","0.8","0.73","52.12","10.49","89.01","25.07","25.82","49.26","13.63","12.76","51.64","0.25","0.31","44.20","1.80","97.57","8.21","91.70","0.999"
"16","Calgary Flames","82","48.653","35","40","7","28","77","0.470","48.8","58.3","45.56","36.06","40.44","47.14","25.63","28.59","47.27","2.03","2.61","43.81","1.86","2.19","45.87","21.29","25.99","45.03","13.09","15.13","46.39","1.72","2.2","43.88","13.11","85.49","8.26","10.31","44.48","6.38","8.06","44.17","1.09","1.55","41.18","17.02","80.77","12.96","15.71","45.22","6.7","7.07","48.67","0.63","0.65","49.14","9.38","90.80","23.73","27.51","46.30","11.73","12.57","48.26","0.3","0.42","42.05","2.58","96.69","7.93","90.89","0.988"
"17","Nashville Predators","82","48.8041","38","32","12","36","88","0.537","50.6","54.27","48.25","38.6","39.84","49.21","28.41","28.55","49.88","2.28","2.57","47.06","1.99","1.92","51.00","22.4","22.13","50.30","14.25","13.69","51.01","1.97","2.18","47.46","13.81","84.08","9.1","7.95","53.38","6.96","5.99","53.72","1.49","1.35","52.50","21.47","77.45","13.27","14.17","48.35","7.3","7.7","48.67","0.48","0.83","36.64","6.54","89.27","23.52","26.17","47.34","12.84","13.69","48.41","0.32","0.37","45.79","2.46","97.27","8.04","91.00","0.990"
"18","St Louis Blues","82","46.7508","52","23","7","43","111","0.677","55.74","47.92","53.77","41.57","35.2","54.15","29.02","25.29","53.43","2.44","2","55.01","2.15","1.82","54.09","25.16","22","53.35","14.66","13.01","52.97","2.05","1.64","55.62","14.01","87.40","9.38","7.9","54.30","7.11","6.07","53.95","1.23","1.07","53.36","17.24","82.34","15.82","14.05","52.97","7.55","6.93","52.15","0.82","0.56","59.42","10.89","91.89","25.94","21.8","54.33","13.45","11.14","54.69","0.37","0.34","52.31","2.74","96.98","8.41","92.11","1.005"
"19","Los Angeles Kings","82","46.4354","46","28","8","38","100","0.610","61.68","45.77","57.41","45.82","35.17","56.57","31.47","24.66","56.07","2.07","1.62","56.13","2.4","1.85","56.42","25.88","20.78","55.46","15.37","12.42","55.30","1.74","1.29","57.37","11.31","89.61","10.42","8.67","54.60","7.74","6.49","54.41","1.17","0.93","55.85","15.12","85.74","15.47","12.08","56.15","7.63","5.92","56.31","0.57","0.36","60.80","7.42","93.83","29.9","21.3","58.40","14.8","11.26","56.79","0.33","0.29","53.04","2.24","97.40","6.58","93.44","1.000"
"20","Minnesota Wild","82","48.036","43","27","12","35","98","0.598","47.89","50.53","48.66","35.63","37.23","48.90","25.55","26.13","49.43","2.03","1.77","53.34","1.8","1.77","50.46","20.87","20.38","50.60","12.26","11.55","51.48","1.69","1.46","53.58","13.79","87.33","8.16","7.52","52.05","5.98","5.52","51.99","1.18","0.95","55.25","19.69","82.73","12.71","12.85","49.72","6.28","6.03","51.01","0.51","0.51","49.89","8.16","91.46","22.86","25.11","47.65","12.44","13.6","47.79","0.33","0.27","55.21","2.69","98.00","7.94","93.21","1.011"
"21","Florida Panthers","82","47.7435","29","45","8","21","66","0.402","51.89","53.7","49.14","39.96","41.23","49.22","28.92","30.46","48.70","2.17","2.73","44.33","2.12","2.24","48.65","24.06","25.27","48.77","15.13","16.47","47.88","1.82","2.35","43.60","12.00","85.73","9.05","10.1","47.26","6.94","7.86","46.86","1.2","1.59","43.13","17.37","79.80","14.9","15.27","49.39","8.21","8.6","48.84","0.61","0.76","44.74","7.48","91.19","24.29","24.75","49.54","12.77","13.48","48.65","0.34","0.37","48.19","2.68","97.27","7.51","91.04","0.986"
"22","Dallas Stars","82","47.0898","40","31","11","36","91","0.555","57.41","55.53","50.83","42.93","40.92","51.20","30.04","28.75","51.10","2.45","2.28","51.77","2.38","2.28","51.06","27.77","26.39","51.28","16.34","16.07","50.42","2.12","1.88","53.02","13.00","88.28","10.83","11.12","49.35","7.74","8.27","48.33","1.52","1.21","55.75","19.64","85.42","16.96","15.23","52.68","8.6","7.81","52.40","0.6","0.68","47.10","7.04","91.30","24.92","23.88","51.07","12.67","11.93","51.51","0.31","0.39","44.28","2.44","96.74","8.16","92.06","1.002"
"23","New York Rangers","82","48.0041","45","31","6","41","96","0.585","58.47","52.81","52.54","44","39.47","52.71","32.34","28.53","53.13","2.16","2","52.01","2.5","2.29","52.24","27.58","24.99","52.47","17.19","15.25","52.99","1.87","1.76","51.56","10.87","88.49","12.55","10.76","53.84","9.22","8.14","53.08","1.21","1.26","49.13","13.16","84.58","15.01","14.23","51.34","7.96","7.11","52.80","0.65","0.5","56.64","8.21","92.96","25.84","23.65","52.22","13.98","12.23","53.33","0.29","0.24","55.26","2.10","98.06","6.69","93.00","0.997"
"24","Phoenix Coyotes","82","47.6496","37","30","15","31","89","0.543","54.83","53.87","50.44","40.52","40.72","49.88","29.04","29.34","49.75","2.11","2.06","50.62","1.98","2.21","47.31","22.93","25.12","47.72","13.59","15.28","47.07","1.62","1.63","49.85","11.94","89.32","9.13","10.86","45.68","6.69","7.95","45.72","1.12","1.04","51.80","16.77","86.86","13.77","14.25","49.14","6.89","7.32","48.48","0.5","0.58","45.95","7.21","92.02","26.32","24.49","51.79","13.79","12.89","51.67","0.46","0.41","52.95","3.34","96.83","7.27","92.98","1.002"
"25","Vancouver Canucks","82","47.3341","36","35","11","31","83","0.506","56.41","54.09","51.05","41.52","39.28","51.38","29.25","28.27","50.86","2.13","2.18","49.48","2.1","2.08","50.20","25.04","26.05","49.01","13.83","14.91","48.12","1.68","1.89","47.05","12.12","87.35","9.9","9.55","50.89","7.02","6.88","50.50","1.13","1.28","46.75","16.04","81.36","15.11","16.48","47.83","6.81","8.01","45.94","0.55","0.6","47.97","8.13","92.50","25.91","24.27","51.64","13.63","12.59","51.99","0.42","0.27","60.53","3.09","97.82","7.29","92.30","0.996"
"26","San Jose Sharks","82","48.2278","51","22","9","41","111","0.677","63.08","52.48","54.59","46.64","37.64","55.34","32.94","26.83","55.11","2.45","2.11","53.66","2.55","1.92","57.02","29.54","21.19","58.23","17.45","13.26","56.82","2.02","1.78","53.19","11.57","86.61","11.46","8.5","57.42","8.72","6.24","58.26","1.5","1.21","55.37","17.22","80.63","18.13","12.64","58.92","8.73","7.01","55.46","0.52","0.56","48.08","5.94","92.01","28.53","25.14","53.15","14.48","12.52","53.64","0.4","0.32","55.53","2.74","97.46","7.43","92.13","0.996"
"27","Ottawa Senators","82","46.489","37","31","14","30","88","0.537","61.08","56.17","52.10","46.1","44.69","50.78","32.72","33.24","49.60","2.46","2.66","48.04","2.25","2.32","49.27","24.97","25.49","49.48","15.16","16.11","48.48","1.98","2.18","47.60","13.05","86.49","9.35","10.92","46.12","7.13","8.37","46.00","1.26","1.53","45.25","17.72","81.74","15.56","14.59","51.62","8.01","7.74","50.84","0.72","0.65","52.52","8.95","91.63","31.34","26.5","54.19","16.72","15.88","51.29","0.48","0.46","51.13","2.90","97.08","7.52","91.99","0.995"
"28","New York Islanders","82","47.6567","34","37","11","25","79","0.482","54.45","57.1","48.81","39.8","41.96","48.68","29.2","29.66","49.61","2.15","2.63","44.99","2.34","2.48","48.54","27.35","29.28","48.29","16.92","17.33","49.40","1.83","2.34","43.87","10.81","86.50","11.6","12.52","48.09","8.98","9.52","48.53","1.31","1.84","41.49","14.54","80.67","15.68","16.8","48.27","7.93","7.81","50.38","0.53","0.5","51.63","6.67","93.65","22.29","23.26","48.94","11.04","11.41","49.18","0.28","0.28","50.18","2.52","97.58","7.37","91.13","0.985"
"29","Carolina Hurricanes","82","47.9563","36","35","11","34","83","0.506","57.26","57.69","49.81","42.44","43.76","49.23","30.05","30.97","49.25","2.06","2.29","47.34","2.3","2.46","48.34","25.56","27.15","48.49","15.01","16.11","48.23","1.64","2","44.98","10.91","87.56","10.42","11.44","47.68","7.51","8.21","47.78","0.92","1.43","39.06","12.23","82.54","15.09","15.75","48.93","7.49","7.92","48.62","0.72","0.58","55.60","9.62","92.73","26.82","26.22","50.57","14.03","13.89","50.25","0.39","0.27","58.46","2.76","98.02","6.86","92.60","0.995"
"30","Columbus Blue Jackets","82","46.797","43","32","7","38","93","0.567","52.51","51.43","50.52","39.07","38.61","50.29","28.81","29.01","49.82","2.29","2.12","51.97","1.99","1.94","50.65","23.6","21.47","52.37","14.34","13.62","51.29","1.97","1.68","53.93","13.72","87.66","9.32","8.57","52.12","7.25","6.77","51.72","1.39","1.18","54.09","19.14","82.60","14.27","12.88","52.57","7.07","6.84","50.83","0.58","0.5","53.50","8.15","92.68","24.06","24.4","49.64","13.79","14.26","49.16","0.31","0.44","41.63","2.27","96.92","7.96","92.70","1.007"
