"","Team","GP","TOI/GP","W","L","OTL","ROW","Points","Point %","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","SCSF/60","SCSA/60","SCSF%","SCGF/60","SCGA/60","SCGF%","SCSH%","SCSV%","HDCF/60","HDCA/60","HDCF%","HDSF/60","HDSA/60","HDSF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","MDCF/60","MDCA/60","MDCF%","MDSF/60","MDSA/60","MDSF%","MDGF/60","MDGA/60","MDGF%","MDSH%","MDSV%","LDCF/60","LDCA/60","LDCF%","LDSF/60","LDSA/60","LDSF%","LDGF/60","LDGA/60","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"11","New Jersey Devils","82","48.2557","32","36","14","27","78","0.476","44.85","50.23","47.17","33.54","38.47","46.58","24.2","28.7","45.75","1.76","1.86","48.60","1.83","2.03","47.45","21.28","22.94","48.12","13.3","15.05","46.92","1.38","1.54","47.29","10.39","89.77","8.24","9.13","47.42","6.3","7.43","45.89","0.89","1.02","46.82","14.20","86.32","13.03","13.78","48.60","7","7.62","47.90","0.48","0.53","47.79","6.89","93.08","21.11","23.54","47.28","10.55","12.69","45.40","0.36","0.32","52.49","3.39","97.45","7.27","93.52","1.008"
"12","Anaheim Ducks","82","48.1667","51","24","7","43","109","0.665","55.44","52.79","51.22","41.94","39.3","51.62","28.62","27.73","50.78","2.38","2.26","51.30","2.25","2.1","51.66","25.93","23.72","52.23","14.67","14.09","51.02","2.06","1.95","51.33","14.03","86.15","10.32","9.6","51.81","7.5","7.06","51.52","1.36","1.34","50.36","18.11","81.02","15.62","14.09","52.58","7.16","7.02","50.49","0.7","0.61","53.26","9.72","91.30","25.48","24.68","50.79","12.81","12.26","51.10","0.29","0.31","48.99","2.30","97.50","8.31","91.86","1.002"
"13","Pittsburgh Penguins","82","47.0768","43","27","12","39","98","0.598","56.26","49.11","53.39","41.68","36.45","53.35","30.57","26.98","53.12","2.28","2.03","52.80","2.24","2.01","52.70","24.71","22.28","52.59","15.28","14.13","51.96","1.94","1.79","52.12","12.73","87.35","9.81","9.43","50.99","7.53","7.48","50.16","1.35","1.16","53.82","17.99","84.46","14.91","12.82","53.77","7.74","6.65","53.81","0.59","0.62","48.51","7.60","90.61","26.2","22.36","53.95","13.91","11.64","54.45","0.32","0.25","56.17","2.30","97.85","7.44","92.46","0.999"
"14","Washington Capitals","82","47.8327","45","26","11","40","101","0.616","55.85","51.68","51.94","40.4","37.21","52.06","28.17","26.78","51.26","2.27","2.05","52.54","2.15","1.9","53.10","25.43","23.01","52.50","14.58","13.27","52.35","1.84","1.68","52.21","12.61","87.32","9.72","9.22","51.33","7.37","7.02","51.22","1.14","1.06","51.81","15.47","84.90","15.75","13.74","53.41","7.22","6.26","53.55","0.7","0.62","53.02","9.72","90.07","25.72","24.15","51.57","12.53","11.93","51.24","0.43","0.33","56.55","3.40","97.26","8.05","92.35","1.004"
"15","Detroit Red Wings","82","46.6632","43","25","14","39","100","0.610","52.48","45.39","53.62","38.74","35.58","52.13","28.08","26.47","51.48","2.06","1.98","51.06","2.09","1.84","53.15","23.79","20.16","54.13","14.39","12.99","52.55","1.79","1.61","52.59","12.42","87.60","9.28","8.31","52.77","7.07","6.52","52.01","1.2","1.15","50.99","16.97","82.32","14.49","11.86","54.98","7.31","6.48","53.00","0.59","0.45","56.47","8.06","92.99","24.45","21.53","53.18","12.74","12.39","50.71","0.28","0.35","44.10","2.19","97.14","7.34","92.53","0.999"
"16","Florida Panthers","82","48.1404","38","29","15","30","91","0.555","53.1","51.06","50.98","40.48","39.29","50.74","29.92","28.22","51.47","2.19","2.18","50.11","2.06","1.98","50.99","22.99","21.98","51.12","14.74","13.81","51.63","1.81","1.67","51.99","12.29","87.89","8.78","8.63","50.44","7.02","6.36","52.44","1.22","0.97","55.85","17.43","84.81","14.18","13.35","51.52","7.74","7.44","50.98","0.59","0.7","45.77","7.66","90.56","25.44","25.12","50.32","13.69","13.54","50.29","0.36","0.49","42.63","2.66","96.38","7.31","92.28","0.996"
"17","Tampa Bay Lightning","82","47.0965","50","24","8","47","108","0.659","56.46","48.61","53.74","42.02","36.24","53.70","30.78","25.88","54.33","2.78","2.11","56.83","2.28","1.87","54.94","27.56","22.61","54.93","17.33","14.19","54.99","2.4","1.77","57.57","13.85","87.53","11.17","8.84","55.83","8.52","6.78","55.68","1.64","1.11","59.66","19.22","83.68","16.44","13.72","54.52","8.82","7.4","54.38","0.77","0.66","53.75","8.69","91.08","25.14","22.86","52.38","12.57","10.99","53.37","0.38","0.34","52.91","3.03","96.91","9.02","91.85","1.009"
"18","New York Rangers","82","48.9096","53","22","7","49","113","0.689","55.14","54.1","50.48","41.34","40.95","50.24","30.66","29.06","51.34","2.69","2.04","56.82","2.36","2.32","50.46","26.07","24.86","51.19","16.22","14.83","52.24","2.32","1.73","57.29","14.33","88.31","11.69","11.56","50.28","8.99","8.44","51.59","1.68","1.31","56.09","18.67","84.42","14.39","13.25","52.06","7.22","6.4","53.03","0.64","0.42","60.49","8.89","93.44","24.44","25.06","49.38","13.08","13.2","49.78","0.37","0.29","55.40","2.79","97.77","8.77","92.97","1.017"
"19","St Louis Blues","82","48.0348","51","24","7","42","109","0.665","55.16","50.25","52.33","42","36.53","53.48","30.1","26.21","53.46","2.45","2.03","54.68","2.25","1.92","53.88","26.07","23.24","52.88","16.16","14.52","52.68","2.06","1.65","55.49","12.76","88.61","9.31","8.18","53.24","7.08","6.26","53.05","1.16","1.06","52.13","16.35","83.03","16.78","14.99","52.81","9.08","8.25","52.38","0.9","0.6","60.16","9.90","92.78","25.09","22.44","52.79","13.01","10.68","54.90","0.36","0.36","49.85","2.76","96.62","8.15","92.25","1.004"
"20","Ottawa Senators","82","47.1435","43","26","13","37","99","0.604","55.29","54.41","50.40","39.97","41.99","48.77","29.16","31.31","48.22","2.34","2.23","51.23","2.16","2.13","50.44","25.36","23.27","52.15","15.08","14.53","50.92","2.12","1.7","55.50","14.09","88.28","10.36","9.47","52.24","7.84","7.2","52.12","1.43","1.13","55.96","18.30","84.32","14.97","13.79","52.05","7.22","7.33","49.62","0.68","0.58","54.27","9.46","92.15","24.69","26.82","47.93","12.9","15.67","45.15","0.22","0.51","29.81","1.69","96.73","8.02","92.89","1.009"
